TT,CT,PA,RA,ECP1,ECP2,ECP3,ECP4,ECP5,FR,DR,GP,SV,LTV,LHV,fine sand-1,silty clay-1,silty clay-2,silty clay-3,AS
85756,5,16.2,0,2.472,2.452,3.465,2.974,3.893,2127.242,2612.847,5.689,1,13,-24,5.04,1.85,7.01,0,18
85773,5,16.4,0.2,2.454,2.437,3.48,2.96,3.881,2202.058,2481.319,4.628,13,13,-23,5.04,1.85,7.01,0,17
86284,5,16.2,0.2,2.442,2.419,3.347,2.965,3.866,2249.15,1568.215,3.739,7,12,-21,5.04,1.85,7.01,0,18
84379,6,16.2,0.4,2.467,2.428,3.4,2.973,3.873,2206.995,3022.117,5.959,7,13,-22,5.04,1.85,7.01,0,17
83044,6,16.2,0.5,2.461,2.416,3.516,2.97,3.857,2280.924,2726.4,5.347,2,11,-23,5.04,1.85,7.01,0,18
84027,6,16.2,0.7,2.532,2.521,3.567,3.013,3.956,2169.904,2681.46,5.888,11,10,-22,5.04,1.85,7.01,0,18
81786,6,16,1.1,2.461,2.414,3.392,2.958,3.836,2264.088,2229.529,4.984,5,9,-20,5.04,1.85,7.01,0,18
81205,5,15.5,1.2,2.487,2.457,3.436,2.982,3.889,2157.877,3283.782,6.563,2,6,-18,5.04,1.85,7.01,0,18
80015,5,15.5,1.4,2.478,2.459,3.287,2.977,3.865,2229.781,2319.029,4.632,7,8,-18,5.04,1.85,7.01,0,17
78228,5,15.5,1.6,2.496,2.46,3.544,2.982,3.899,2285.862,2746.528,5.997,2,8,-19,5.04,1.85,7.01,0,18
76839,5,15.5,1.6,2.497,2.475,3.469,3,3.925,2425.872,2467.9,5.381,19,8,-14,5.04,1.85,7.01,0,17
75617,5,15.7,1.8,2.478,2.461,3.608,2.992,3.905,2601.074,3336.95,6.434,0,7,-20,5.04,1.85,7.01,0,18
77386,6,15.7,1.6,2.528,2.522,3.687,2.999,3.94,2579.68,3163.773,5.558,1,7,-20,5.04,1.85,7.01,0,20
75448,6,15.9,1.6,2.496,2.453,3.744,2.97,3.904,2781.594,1584.418,6.226,8,6,-20,5.04,1.85,7.01,0,20
76748,6,16,1.6,2.504,2.474,3.575,2.992,3.93,2666.142,2597.909,6.302,1,7,-21,5.04,1.85,7.01,0,20
75389,5,16,1.4,2.461,2.427,3.509,2.967,3.885,2510.182,3500,6.54,13,8,-20,5.04,1.85,7.01,0,20
75472,5,16,1.2,2.479,2.453,3.383,2.98,3.93,2636.646,1377.948,5.702,1,8,-22,5.04,1.85,7.01,0,19
75000,6,16,1.1,2.497,2.453,3.386,2.984,3.94,2639.938,3500,5.558,16,9,-19,5.04,1.85,7.01,0,20
75533,7,16.4,1.1,2.458,2.404,3.36,2.967,3.896,2506.89,3489.493,5.457,18,10,-16,5.04,1.85,7.01,0,19
77305,6,16.8,0.9,2.47,2.429,3.374,2.975,3.912,2647.154,2896.159,4.368,23,10,-16,5.04,1.85,7.01,0,20
76930,6,16.4,0.7,2.492,2.432,3.244,2.989,3.917,2558.16,3374.168,4.666,13,11,-17,5.04,1.85,7.01,0,20
77862,6,16.6,0.5,2.471,2.416,3.385,2.985,3.921,2482.078,3185.927,3.841,24,12,-16,5.04,1.85,7.01,0,19
77882,6,16.4,0.5,2.453,2.398,3.372,2.979,3.922,2529.93,3225.297,3.844,35,12,-13,5.04,1.85,7.01,0,19
78550,6,16.6,0.4,2.475,2.42,3.361,2.986,3.947,2520.436,3202.384,3.732,16,14,-17,5.04,1.85,7.01,0,19
79425,5,16.6,0.2,2.464,2.42,3.625,2.982,3.963,2583.351,2448.531,3.497,16,14,-17,5.04,1.85,7.01,0,19
78459,6,16.6,0.2,2.454,2.398,3.491,2.977,3.952,2565.375,1815.195,4.186,20,15,-18,5.04,1.85,7.01,0,19
80608,6,16.6,0,2.527,2.5,3.716,3.019,4.054,2559.299,2323.206,3.583,21,16,-18,5.04,1.85,7.01,0,18
80523,5,16.8,0.2,2.457,2.407,3.68,2.977,3.97,2558.666,2891.095,3.806,21,17,-18,5.04,1.85,7.01,0,18
81534,7,16.8,-0.2,2.461,2.411,3.539,2.985,3.991,2489.294,2700.575,3.177,16,17,-18,5.04,1.85,7.01,0,18
81795,6,16.6,-0.4,2.433,2.398,3.332,2.972,3.968,2554.615,2373.336,2.932,16,17,-18,5.04,1.85,7.01,0,17
82176,6,16.8,-0.4,2.49,2.468,3.384,3.002,4.04,2467.647,2248.517,4.398,17,17,-18,5.04,1.85,7.01,0,18
81056,6,16.6,-0.4,2.509,2.478,3.535,3.017,4.07,2528.284,3500,4.895,27,17,-16,5.04,1.85,7.01,0,18
80509,5,16.4,-0.4,2.499,2.488,3.74,3.011,4.082,2559.299,3303.657,4.125,35,17,-14,5.04,1.85,7.01,0,16
81099,5,16.6,-0.4,2.449,2.406,3.593,2.985,4.015,2584.617,3346.571,3.383,9,18,-19,5.04,1.85,7.01,0,15
81441,6,16.6,-0.2,2.42,2.367,3.46,2.967,3.972,2560.692,3211.625,3.143,17,19,-18,5.04,1.85,7.01,0,17
83628,6,16.8,0,2.512,2.474,3.524,3.019,4.07,2559.046,3500,2.854,11,19,-20,5.04,1.85,7.01,0,18
82399,6,16.8,0.2,2.484,2.435,3.487,2.996,4.044,2606.897,2628.545,3.971,13,20,-19,5.04,1.85,7.01,0,16
82547,6,16.8,0.2,2.474,2.427,3.474,2.999,4.042,2628.291,3500,4.083,16,21,-19,5.04,1.85,7.01,0,18
82526,5,16.6,0.2,2.453,2.39,3.519,2.985,4.001,2620.949,3500,4.002,21,21,-19,5.04,1.85,7.01,0,18
83290,6,16.8,0.4,2.481,2.425,3.481,2.997,4.016,2575.756,3500,4.184,9,20,-20,5.04,1.85,7.01,0,18
83903,6,16.9,0.5,2.492,2.453,3.483,3.001,4.048,2536.133,2789.063,4.469,16,20,-19,5.04,1.85,7.01,0,16
81616,6,16.8,0.9,2.456,2.392,3.439,2.975,3.998,2580.06,2640.444,3.656,15,23,-20,5.04,1.85,7.01,0,17
82140,6,16.8,0.9,2.462,2.4,3.383,2.977,4.009,2609.936,2534.614,3.819,15,22,-20,5.04,1.85,7.01,0,17
82978,5,16.8,1.1,2.403,2.332,3.331,2.939,3.937,2529.93,2788.176,2.456,22,22,-19,0,6.5,7.4,0,17
83401,6,16.8,1.2,2.487,2.444,3.394,2.999,4.035,2391.565,2565.502,3.969,28,22,-18,0,6.5,7.4,0,18
81446,4,16.6,1.2,2.507,2.459,3.442,3.002,4.063,2429.923,1404.785,3.789,15,23,-19,0,6.5,7.4,0,11
82334,5,16.6,1.4,2.462,2.396,3.416,2.971,4.04,2466.001,2607.151,3.335,8,23,-21,0,6.5,7.4,0,17
83440,6,16.9,1.4,2.529,2.472,3.593,3.014,4.076,2368.652,2978.57,3.279,13,23,-20,0,6.5,7.4,0,16
83309,6,16.9,1.8,2.565,2.479,3.617,3.02,4.085,2397.768,3252.134,3.472,12,22,-20,0,6.5,7.4,0,16
80978,5,16.8,1.8,2.493,2.442,3.573,2.99,4.065,2430.935,3260.236,5.174,18,22,-19,0,6.5,7.4,0,16
82022,5,16.6,2.1,2.504,2.443,3.658,2.994,4.057,2406.756,1335.16,3.658,17,23,-20,0,6.5,7.4,0,15
83978,7,16.6,2.1,2.47,2.405,3.703,2.972,4.044,2463.469,2756.402,4.518,11,24,-20,0,6.5,7.4,0,24
85293,6,16.4,2.1,2.639,2.585,3.968,3.049,4.184,2303.331,1950.141,4.998,16,22,-22,0,6.5,7.4,0,17
82221,5,16.4,1.9,2.512,2.441,3.756,3.001,4.049,2409.668,2792.734,4.341,23,22,-20,0,6.5,7.4,0,18
82713,6,16.6,1.9,2.499,2.427,3.726,2.995,4.053,2390.679,2771.846,4.954,36,22,-16,0,6.5,7.4,0,18
83447,6,16.6,1.6,2.483,2.423,3.667,2.998,4.028,2247.758,2577.908,3.899,10,10,-19,0,6.5,7.4,0,18
81533,5,16.4,1.6,2.444,2.383,3.761,2.981,4.012,2269.025,2588.921,5.303,19,10,-20,0,6.5,7.4,0,18
80872,6,16.6,1.6,2.456,2.392,3.735,2.986,4.013,2273.582,2862.612,5.455,15,9,-19,0,6.5,7.4,0,19
81359,6,16.8,1.6,2.495,2.428,3.661,3.002,4.043,2268.139,3038.954,5.49,16,10,-18,0,6.5,7.4,0,18
79272,6,16.6,1.4,2.482,2.416,3.542,2.978,4.053,2241.301,2200.412,5.798,10,10,-19,0,6.5,7.4,0,16
79362,6,16.8,1.4,2.452,2.376,3.442,2.965,4.013,2264.847,2731.843,4.908,23,10,-18,0,6.5,7.4,0,20
78219,6,16.6,1.2,2.401,2.332,3.36,2.938,3.989,2293.33,2980.469,5.734,17,10,-17,0,6.5,7.4,0,17
78602,6,16.8,1.2,2.465,2.393,3.325,2.98,4.023,2327.004,2279.026,4.4,29,10,-14,0,6.5,7.4,0,16
80350,6,16.8,1.2,2.421,2.359,3.33,2.942,4.023,2327.763,2743.743,4.248,13,10,-17,0,6.5,7.4,0,16
80105,7,16.9,1.2,2.432,2.358,3.311,2.956,4.017,2328.65,2719.564,4.33,20,10,-16,0,6.5,7.4,0,16
83502,7,16.8,1.2,2.563,2.504,3.365,3.047,4.111,2326.624,2132.939,4.138,20,10,-16,0,6.5,7.4,0,16
81084,6,17.1,1.1,2.449,2.381,3.346,2.975,4.035,2278.519,2209.907,5.245,23,11,-14,0,6.5,7.4,0,13
78494,5,18.2,1.1,2.428,2.377,3.865,2.976,4.035,2320.168,2386.628,6.549,38,13,-13,0,6.5,7.4,0,10
78700,5,18.3,1.1,2.47,2.414,3.862,2.977,4.067,2242.314,2184.082,5.409,32,12,-20,0,6.5,7.4,0,10
80547,6,18.5,1.1,2.432,2.382,3.78,2.975,4.043,2311.686,2912.489,3.914,33,12,-21,0,6.5,7.4,0,13
81924,5,18.3,1.1,2.458,2.42,3.661,2.993,4.039,2318.269,2061.542,3.124,45,12,-18,0,6.5,7.4,0,10
81145,5,18.3,1.1,2.382,2.322,3.532,2.934,3.993,2346.372,2317.383,5.797,31,11,-19,0,6.5,7.4,0,17
80626,7,18.3,0.9,2.365,2.311,3.406,2.934,3.972,2383.463,2472.204,4.468,26,11,-21,0,6.5,7.4,0,18
82001,7,18.5,0.7,2.427,2.367,3.856,2.96,4.036,2327.384,2634.115,6.568,34,10,-20,0,6.5,7.4,0,22
79967,6,18.7,0.9,2.438,2.373,3.888,2.962,4.053,2147.877,2878.183,4.961,37,9,-21,0,6.5,7.4,0,17
79532,7,18.7,0.9,2.452,2.384,3.826,2.988,4.036,2168.764,2585.25,4.847,36,5,-19,0,6.5,7.4,0,19
79370,6,18.9,0.7,2.425,2.368,3.849,2.961,4.029,2180.917,2583.731,6.585,28,3,-20,0,6.5,7.4,0,17
78655,7,18.9,0.5,2.389,2.316,3.752,2.943,3.99,2177.499,2883.5,4.728,38,3,-19,0,6.5,7.4,0,19
81292,6,19.2,0.7,2.418,2.363,3.711,2.966,4.028,2182.436,2730.577,6.254,34,1,-19,0,6.5,7.4,0,19
80581,6,19.4,0.7,2.427,2.365,3.662,2.969,4.039,2197.754,2972.24,6.867,38,0,-19,0,6.5,7.4,0,18
83846,7,18.9,0.4,2.579,2.525,4.097,3.022,4.11,2430.176,1393.139,5.052,33,2,-21,0,6.5,7.4,0,19
82751,6,18.9,0.4,2.524,2.475,3.89,3.007,4.105,2483.597,3500,5.499,35,2,-18,0,6.5,7.4,0,19
81116,6,18.9,0.4,2.458,2.391,3.844,2.975,4.032,2559.805,3047.056,4.871,39,2,-18,0,6.5,7.4,0,20
81142,7,19,0.4,2.475,2.415,3.758,2.988,4.04,2426.378,2845.016,5,35,2,-17,0,6.5,7.4,0,20
81152,6,18.9,0.2,2.474,2.408,3.812,2.992,4.024,2559.046,2515.752,5.168,44,2,-17,0,6.5,7.4,0,19
81099,6,19,0.2,2.505,2.451,3.745,3.006,4.061,2455.115,2993.887,5.184,41,1,-15,0,6.5,7.4,0,19
80335,6,19.2,0.2,2.442,2.382,3.614,2.965,4.002,2493.725,2484.23,4.487,34,2,-16,0,6.5,7.4,0,15
81435,7,19,0,2.443,2.383,3.636,2.973,4.003,2640.064,3262.514,4.514,42,2,-15,0,6.5,7.4,0,20
82237,6,19,-0.2,2.481,2.422,3.583,2.989,4.035,2519.929,3500,3.737,38,1,-14,0,6.5,7.4,0,19
82932,6,19,-0.4,2.497,2.411,3.518,2.994,4.021,2569.806,3500,3.177,44,1,-15,0,6.5,7.4,0,19
83383,7,18.9,-0.4,2.502,2.421,3.457,2.987,4.034,2601.834,2544.868,4.453,52,1,-13,0,6.5,7.4,0,19
80906,6,18.9,-0.4,2.503,2.435,3.508,2.998,4.021,2592.846,1927.861,5.292,39,2,-13,0,6.5,7.4,0,18
81582,6,18.7,-0.4,2.624,2.578,3.563,3.037,4.13,2502.206,3068.83,5.368,41,2,-13,0,6.5,7.4,0,17
80110,6,18.7,-0.4,2.488,2.428,3.459,2.99,3.987,2476.255,2770.454,4.939,45,1,-13,0,6.5,7.4,0,18
79097,4,18.5,-0.4,2.462,2.4,3.403,2.984,3.934,2598.416,2759.693,4.941,42,0,-11,0,6.5,7.4,0,12
81571,6,18.3,-0.4,2.474,2.426,3.417,2.988,3.937,2641.963,2358.778,4.516,35,-1,-10,0,6.5,7.4,0,18
81601,6,18,-0.4,2.507,2.423,3.424,2.994,3.957,2634.874,2950.467,3.564,38,-1,-10,0,6.5,7.4,0,18
80570,6,17.8,-0.5,2.458,2.386,3.606,2.971,3.9,2658.167,2868.182,3.595,31,0,-6,0,6.5,7.4,0,20
80049,6,17.3,-0.4,2.497,2.447,3.749,2.993,3.973,2560.565,2500.814,4.089,35,-1,-5,0,6.5,7.4,0,18
80296,6,16.8,0,2.492,2.434,3.655,2.989,3.941,2591.707,3280.997,4.064,39,-2,5,0,6.5,7.4,0,18
80162,6,16.8,0.4,2.496,2.412,3.744,2.991,3.922,2496.256,2889.07,4.006,33,-2,1,0,6.5,7.4,0,19
79555,6,16.8,0.7,2.454,2.406,3.674,2.982,3.92,2593.099,2632.469,4.348,38,-3,1,0,6.5,7.4,0,19
80950,6,16.6,0.7,2.487,2.446,3.913,2.998,3.933,2490.94,2736.147,5.399,42,-3,6,0,6.5,7.4,0,17
80006,6,16.6,0.9,2.475,2.425,3.874,2.998,3.948,2584.364,3313.657,6.038,50,-3,8,0,6.5,7.4,0,20
79931,6,16.4,0.9,2.442,2.385,3.984,2.986,3.92,2464.229,2931.098,5.56,42,-1,6,0,6.5,7.4,0,19
80728,6,16.4,1.2,2.47,2.416,4.027,2.983,3.934,2557.906,2584.238,5.628,39,-3,8,0,6.5,7.4,0,15
82750,7,16.4,1.2,2.473,2.429,4.004,2.999,3.952,2532.335,2148.889,4.996,50,-3,11,0,6.5,7.4,0,21
82292,7,16.2,1.4,2.491,2.437,3.914,2.998,3.948,2514.865,2482.838,4.48,58,-3,14,0,6.5,7.4,0,20
77665,4,16.2,1.6,2.475,2.42,3.954,3,3.95,2524.36,2373.589,4.064,66,-3,16,0,6.5,7.4,0,1
83847,6,16,1.6,2.521,2.46,4.071,2.999,3.963,2572.338,2715.513,4.706,30,1,6,0,6.5,7.4,0,19
82790,7,16,1.8,2.465,2.391,4.021,2.961,3.942,2621.582,3365.94,4.451,41,3,7,0,6.5,7.4,0,19
83072,7,16.2,2.1,2.479,2.407,4.012,2.966,3.962,2615.759,1663.538,4.275,38,2,8,0,6.5,7.4,0,19
83347,6,16.2,2.1,2.473,2.412,3.881,2.972,3.966,2499.801,3172.508,4.058,41,3,10,0,6.5,7.4,0,14
84444,4,16,2.1,2.493,2.443,3.249,2.998,3.955,2256.619,2309.154,5.725,47,3,12,0,6.5,7.4,0,14
82770,5,16.4,2.1,2.453,2.391,3.438,2.968,3.927,2241.681,2246.998,5.661,60,3,15,0,6.5,7.4,0,15
82848,5,16.6,1.9,2.446,2.382,3.488,2.969,3.938,2270.67,2177.626,5.936,76,3,20,0,6.5,7.4,0,14
82630,6,16.6,2.1,2.465,2.387,3.526,2.971,3.962,2269.278,2380.932,7.032,82,4,22,0,6.5,7.4,0,17
83890,6,16.8,1.9,2.463,2.394,3.549,2.978,3.979,2291.558,2578.161,6.808,94,4,26,0,6.5,7.4,0,16
82954,6,16.9,1.9,2.427,2.365,3.592,2.966,3.96,2274.342,2722.475,6.458,103,4,28,0,6.5,7.4,0,14
85309,5,17.1,1.8,2.452,2.39,3.751,2.976,3.984,2232.06,2463.469,5.556,112,4,32,0,6.5,7.4,0,15
86410,7,17.3,1.8,2.426,2.377,3.74,2.969,3.984,2237.757,2462.203,4.529,117,4,33,0,6.5,7.4,0,20
86946,5,17.1,1.8,2.504,2.464,3.728,3.001,4.051,2156.738,946.777,3.709,127,4,37,0,6.5,7.4,0,14
86574,6,17.5,1.6,2.47,2.421,3.793,2.966,4.001,2171.676,2161.802,4.579,134,4,39,0,6.5,7.4,0,15
86994,6,17.6,1.6,2.509,2.445,3.756,2.989,4.025,2192.564,2355.614,4.728,140,4,41,0,6.5,7.4,0,16
86633,6,17.8,1.6,2.449,2.374,3.601,2.956,3.975,2252.948,2576.009,4.743,149,4,45,0,6.5,7.4,0,17
86395,7,17.8,1.2,2.412,2.343,3.483,2.936,3.934,2273.582,2881.727,3.696,159,5,49,0,6.5,7.4,0,17
87082,7,18.2,1.2,2.487,2.446,3.809,2.989,4.013,2464.229,2934.01,4.685,173,5,54,0,6.5,7.4,0,17
87641,6,18.2,1.2,2.502,2.462,4.01,2.992,4.046,2418.023,2483.344,4.955,60,16,12,0,6.5,7.4,0,16
87280,6,18.3,1.2,2.479,2.429,3.945,2.985,4,2240.795,2002.55,6.089,74,16,16,0,6.5,7.4,0,17
87156,6,18.5,1.2,2.412,2.364,3.76,2.941,3.955,2339.916,2229.149,4.989,81,16,18,0,6.5,7.4,0,16
87609,6,18.7,1.1,2.434,2.388,3.656,2.96,3.975,2268.139,2257.125,4.886,93,16,21,0,6.5,7.4,0,16
88523,6,18.9,1.1,2.491,2.447,3.621,2.993,4.032,2262.569,1579.988,5.529,98,16,23,0,6.5,7.4,0,12
88796,6,18.9,0.9,2.487,2.442,3.564,2.983,4.036,2248.517,1924.823,4.316,72,33,14,0,6.5,7.4,0,18
87160,6,19,0.7,2.436,2.389,3.665,2.969,4.009,2285.355,2606.518,4.738,69,35,13,0,6.5,7.4,0,18
86267,6,19.4,0.5,2.416,2.367,3.556,2.953,3.99,2339.03,2433.594,5.121,69,34,11,0,6.5,7.4,0,18
83907,6,19.6,0.5,2.413,2.355,3.722,2.951,3.998,2330.168,1699.11,5.15,78,36,12,0,6.5,7.4,0,19
83218,7,19.7,0.4,2.417,2.36,3.784,2.95,3.981,2318.902,2024.957,6.889,75,39,14,0,6.5,7.4,0,20
82329,6,19.6,0.2,2.463,2.411,3.717,2.979,4.036,2289.28,2493.725,5.622,74,39,13,0,6.5,7.4,0,16
84232,6,19.4,0.4,2.433,2.395,3.912,2.965,4.063,2217.375,2456.76,7.035,71,39,13,0,6.5,7.4,0,19
83037,5,19.2,0.2,2.414,2.366,3.817,2.962,4.052,2298.774,2765.01,7.54,74,40,13,0,6.5,7.4,0,15
83545,6,19.4,0.4,2.471,2.423,3.717,2.99,4.106,2285.735,2680.7,6.664,70,40,15,0,6.5,7.4,0,16
81971,6,19.4,0.4,2.416,2.371,3.593,2.961,4.058,2278.772,2665.383,7.78,76,40,17,0,6.5,7.4,0,16
81720,6,19.6,0.7,2.413,2.366,3.495,2.958,4.046,2231.554,1753.671,7.747,87,40,20,0,6.5,7.4,0,17
82671,6,19.6,0.7,2.452,2.409,3.808,2.977,4.099,2249.656,2498.408,6.419,92,40,22,0,6.5,7.4,0,17
84099,6,19.7,0.9,2.454,2.41,3.597,2.975,4.087,2233.326,2199.273,6.831,79,40,18,0,6.5,7.4,0,17
84146,6,19.7,1.1,2.486,2.44,3.72,2.998,4.125,2238.516,2540.437,6.895,84,39,16,0,6.5,7.4,0,15
84425,6,19.7,1.2,2.453,2.393,3.498,2.979,4.077,2243.707,2439.291,6.494,77,40,16,0,6.5,7.4,0,16
84846,5,19.9,1.2,2.428,2.369,3.721,2.975,4.061,2266.24,2292.064,5.075,80,40,16,0,6.5,7.4,0,16
85910,6,19.7,1.4,2.469,2.431,3.656,3,4.127,2242.314,2262.189,4.737,78,40,16,0,6.5,7.4,0,14
86099,6,19.7,1.6,2.44,2.388,3.779,2.983,4.103,2232.567,2322.953,5.711,83,40,15,0,6.5,7.4,0,16
82191,3,19.2,1.6,2.49,2.444,3.322,2.99,4.081,2542.462,2967.556,3.676,83,40,15,0,6.5,7.4,0,10
80961,7,19.4,1.4,2.472,2.41,3.802,2.985,4.081,2593.732,2532.842,6.907,80,41,17,0,6.5,7.4,0,20
79993,7,19.6,1.4,2.441,2.391,3.916,2.977,4.059,2601.834,3500,6.153,86,41,18,0,6.5,7.4,0,19
80478,6,19.4,1.1,2.442,2.389,3.832,2.984,4.052,2546.007,2171.043,5.811,93,41,21,0,6.5,7.4,0,19
78801,7,19.4,1.1,2.441,2.388,3.717,2.967,4.03,2532.208,2641.33,6.534,99,41,22,0,6.5,7.4,0,20
81419,7,19.4,0.9,2.423,2.362,3.614,2.963,4.019,2621.076,3462.402,5.145,103,41,24,0,6.5,7.4,0,20
82055,6,19.4,0.5,2.426,2.361,3.537,2.979,4.025,2678.675,3500,4.49,83,47,23,0,6.5,7.4,0,20
84749,6,19,0.4,2.529,2.492,3.582,3.008,4.136,2499.421,2467.14,4.786,85,48,22,0,6.5,7.4,0,18
83069,6,19,0.4,2.435,2.388,3.925,2.98,4.034,2651.711,1977.232,4.723,81,48,25,0,6.5,7.4,0,19
83398,7,18.7,0.2,2.438,2.372,4.038,2.964,4.034,2568.034,2741.844,4.563,84,48,24,0,6.5,7.4,0,20
84150,7,18.7,-0.2,2.415,2.338,4.043,2.945,4.005,2510.941,2965.531,4.229,83,50,28,0,6.5,7.4,0,20
81872,6,18.3,-0.4,2.455,2.414,3.479,2.965,4.047,2504.612,3004.521,5.289,83,50,27,0,6.5,7.4,0,18
81861,6,18.2,-0.4,2.52,2.485,3.699,2.996,4.084,2466.887,2496.51,5.329,88,50,28,0,6.5,7.4,0,18
80662,7,17.8,-0.4,2.498,2.442,3.797,2.981,4.086,2609.809,2656.395,4.82,94,50,30,0,6.5,7.4,0,19
80207,7,17.8,-0.4,2.521,2.464,3.752,3.004,4.107,2490.686,2469.166,5.361,100,50,31,0,6.5,7.4,0,20
79997,7,17.8,-0.5,2.522,2.464,3.716,2.998,4.091,2464.989,3217.701,4.89,106,50,33,0,6.5,7.4,0,19
80478,7,17.6,-0.7,2.531,2.502,3.751,2.993,4.12,2406.377,3500,5.392,111,50,35,0,6.5,7.4,0,19
80892,7,17.6,-0.7,2.536,2.482,3.995,3.001,4.088,2506.51,3467.339,4.536,114,50,36,0,6.5,7.4,0,19
80616,6,17.6,-1.1,2.501,2.456,3.91,2.999,4.065,2550.058,2692.473,4.161,120,50,38,0,6.5,7.4,0,19
82252,7,17.3,-1.1,2.559,2.483,3.819,3.009,4.064,2533.221,2733.489,4.728,83,52,43,0,6.5,7.4,0,19
81673,6,17.3,-1.2,2.571,2.522,3.793,3.016,4.099,2543.095,2929.073,5.207,89,51,43,0,6.5,7.4,0,18
81116,7,17.1,-1.2,2.516,2.454,3.682,2.995,4.041,2502.713,2524.74,5.415,82,52,45,0,6.5,7.4,0,20
81021,7,16.8,-0.9,2.53,2.479,4.083,3.002,4.043,2493.471,3112.377,5.854,83,53,44,0,6.5,7.4,0,19
78677,7,16.8,-0.9,2.518,2.453,4.227,3.002,4.054,2616.012,3034.27,6.265,80,52,45,0,6.5,7.4,0,20
78736,6,16.6,-0.7,2.521,2.461,4.153,3.001,4.057,2511.701,3425.184,5.512,75,53,47,0,6.5,7.4,0,20
79836,7,16.2,-0.7,2.567,2.508,4.085,3.012,4.072,2550.058,2094.708,6.27,82,53,48,0,6.5,7.4,0,18
78903,8,16,-0.5,2.464,2.404,4.066,2.97,4.014,2538.412,3199.092,5.272,82,54,52,0,6.5,7.4,0,18
80202,8,16,-0.4,2.521,2.463,4.056,3.009,4.049,2537.146,2379.919,5.301,82,55,55,0,6.5,7.4,0,18
81055,7,15.9,-0.2,2.524,2.457,4.148,2.997,4.072,2439.164,3500,6.245,85,56,55,0,6.5,7.4,0,20
82872,8,15.7,0,2.53,2.48,4.094,3.021,4.086,2580.693,2726.906,4.789,88,57,58,0,6.5,7.4,0,19
82245,7,16.2,0.2,2.479,2.4,3.917,2.988,4.048,2543.222,3178.964,4.201,89,55,57,0,6.5,7.4,0,16
83336,8,16.2,0.4,2.499,2.431,3.879,3.001,4.087,2496.636,2930.845,4.353,85,55,55,0,6.5,7.4,0,17
83661,8,15.9,0.5,2.548,2.486,3.814,3.024,4.112,2539.171,2600.188,5.21,82,55,55,0,6.5,7.4,0,18
85422,6,15.9,0.7,2.518,2.458,4.047,3.005,4.121,2580.06,2869.068,1.652,79,50,54,0,6.5,7.4,0,13
82188,7,15.9,1.1,2.534,2.459,3.942,3,4.135,2538.412,3155.292,5.115,77,50,53,0,6.5,7.4,0,18
81357,7,15.9,0.9,2.537,2.472,3.84,3.014,4.129,2489.547,2312.699,4.183,74,49,55,0,6.5,7.4,0,15
83429,6,15.9,0.9,2.597,2.549,3.627,3.041,4.167,2653.357,2861.726,3.846,84,49,58,0,6.5,7.4,0,14
83832,7,15.9,1.1,2.553,2.5,3.601,3.031,4.145,2506.764,3079.969,4.04,79,51,55,0,6.5,7.4,0,12
81774,3,15.9,1.2,2.604,2.519,3.573,3.03,4.153,2631.33,2518.03,3.347,74,50,53,0,6.5,7.4,0,5
84978,7,16,1.2,2.57,2.503,3.966,3.032,4.132,2557.147,2499.168,4.599,77,51,53,0,6.5,7.4,0,16
85463,7,15.9,1.4,2.633,2.58,3.945,3.053,4.178,2475.242,2451.443,4.158,84,51,54,0,6.5,7.4,0,16
84023,6,15.7,1.9,2.56,2.491,3.968,3.024,4.125,2334.219,2713.361,4.38,82,50,53,0,6.5,7.4,0,14
86136,6,15.7,2.1,2.616,2.544,3.923,3.044,4.164,2334.979,2680.953,3.656,80,50,52,0,6.5,7.4,0,12
84485,6,15.9,2.3,2.604,2.51,3.828,3.041,4.15,2366.627,2394.73,3.87,71,50,53,0,6.5,7.4,0,15
84098,6,15.9,2.3,2.5,2.43,0,3.011,4.089,2307.256,2979.203,4.161,77,48,53,0,6.5,7.4,0,15
84168,6,15.3,2.3,2.479,2.417,4.14,3.004,4.09,2435.746,2939.706,3.803,77,50,54,0,6.5,7.4,0,15
85484,7,15.5,2.1,2.518,2.453,4.236,3.009,4.125,2350.929,2468.28,3.476,71,46,54,0,6.5,7.4,0,17
86278,6,15.5,2.1,2.605,2.533,4.161,3.06,4.186,2336.245,2446.506,4.432,80,49,56,0,6.5,7.4,0,16
87565,4,15.5,2.1,2.637,2.578,3.832,3.061,4.195,2414.225,2400.807,2.533,79,50,53,0,6.5,7.4,0,5
88606,3,15.3,2.1,2.758,2.769,4.387,3.118,4.393,2528.031,3500,3.607,75,51,57,0,6.5,7.4,0,3
84067,4,15.5,2.1,2.598,2.512,4.37,3.044,4.171,2333.84,2377.514,4.899,71,49,53,0,6.5,7.4,0,11
86109,7,15.7,2.1,2.555,2.475,4.21,3.027,4.147,2300.546,1972.295,4.734,84,49,57,0,6.5,7.4,0,18
87609,7,15.5,1.9,2.615,2.522,4.165,3.039,4.155,2270.924,2440.809,4.05,79,47,52,0,6.5,7.4,0,14
86357,7,15.3,1.8,2.561,2.471,4.11,3.026,4.124,2303.964,2499.168,5.242,76,46,56,0,6.5,7.4,0,16
86942,7,15.3,1.8,2.611,2.535,4.034,3.06,4.192,2297.128,2525.119,4.523,90,46,60,0,6.5,7.4,0,16
