TT,CT,PA,RA,ECP1,ECP2,ECP3,ECP4,ECP5,FR,DR,GP,SV,LTV,LHV,fine sand-1,silty clay-1,silty clay-2,silty clay-3,AS
74217,5,14.5,0.9,2.342,2.305,3.317,2.81,3.871,2438.151,2083.948,5.422,28,14,10,5.04,1.85,7.01,0,17
73654,5,14.5,0.9,2.333,2.291,3.46,2.792,3.865,2476.508,2502.206,5.784,35,14,12,5.04,1.85,7.01,0,19
74312,5,14.3,0.5,2.383,2.339,3.669,2.828,3.904,2476.002,1823.043,5.695,50,14,16,5.04,1.85,7.01,0,18
75148,4,14.3,0.5,2.371,2.326,3.679,2.83,3.893,2454.481,3088.578,4.763,14,16,5,5.04,1.85,7.01,0,16
74823,2,14.3,0.4,2.329,2.296,3.539,2.797,3.868,2490.18,2815.773,2.601,15,17,5,5.04,1.85,7.01,0,3
77287,4,14.3,0.2,2.332,2.298,3.657,2.813,3.879,2455.115,1697.844,3.662,11,18,4,5.04,1.85,7.01,0,16
77822,5,14.6,-0.2,2.349,2.316,3.691,2.798,3.895,2453.595,3080.096,3.54,30,18,9,5.04,1.85,7.01,0,20
78998,6,14.5,0,2.377,2.352,3.647,2.819,3.929,2556.387,2767.416,3.532,24,20,6,5.04,1.85,7.01,0,18
77151,5,14.6,0,2.352,2.319,3.772,2.805,3.912,2221.933,2221.806,3.35,36,20,9,5.04,1.85,7.01,0,19
76216,5,14.6,0.2,2.332,2.295,3.753,2.804,3.9,2232.567,2974.899,3.445,11,19,1,5.04,1.85,7.01,0,19
75314,5,14.1,0.4,2.305,2.271,3.656,2.788,3.882,2262.189,3024.396,3.781,6,20,1,5.04,1.85,7.01,0,19
75348,4,13.9,0.4,2.304,2.279,3.523,2.792,3.881,2248.39,1916.468,4.342,15,21,2,5.04,1.85,7.01,0,18
75899,5,14.1,0.4,2.311,2.276,3.385,2.798,3.878,2205.729,2309.281,4.158,7,23,2,5.04,1.85,7.01,0,18
76976,6,13.9,0.4,2.33,2.297,3.322,2.799,3.883,2261.303,2596.517,3.316,9,25,2,5.04,1.85,7.01,0,18
77300,4,13.9,0.7,2.339,2.297,3.409,2.795,3.885,2219.148,2429.543,3.391,14,26,3,5.04,1.85,7.01,0,18
76920,5,13.6,0.7,2.349,2.305,3.515,2.805,3.887,2236.491,2440.936,3.956,19,26,4,5.04,1.85,7.01,0,17
77539,4,14.1,0.9,2.384,2.344,3.652,2.811,3.912,2208.008,3500,3.93,5,28,-2,5.04,1.85,7.01,0,15
77760,5,13.6,0.9,2.317,2.283,3.592,2.767,3.834,2209.527,2546.513,3.083,2,27,0,5.04,1.85,7.01,0,18
85646,6,13.6,0.9,2.66,2.741,3.936,2.975,4.268,2327.004,2398.275,3.809,7,27,1,5.04,1.85,7.01,0,18
86083,5,13.8,1.1,2.739,2.828,3.996,3.064,4.363,2318.649,2617.405,3.656,14,27,3,5.04,1.85,7.01,0,16
86636,6,13.6,0.9,2.716,2.801,3.8,3.035,4.331,2321.814,2893.247,4.051,4,29,-1,5.04,1.85,7.01,0,17
86431,6,13.6,0.5,2.699,2.771,3.643,3.026,4.322,2338.904,2109.013,3.356,1,31,-2,5.04,1.85,7.01,0,16
86705,6,13.8,0.7,2.709,2.806,3.563,3.019,4.323,2273.456,2193.323,4.051,-3,30,-3,5.04,1.85,7.01,0,20
86352,5,13.8,0.5,2.788,2.901,3.675,3.099,4.388,2199.146,2169.651,4.18,-6,29,-4,5.04,1.85,7.01,0,16
87275,4,13.6,0.5,2.874,3.031,3.73,3.2,4.518,2207.881,1927.101,3.976,0,30,-2,5.04,1.85,7.01,0,13
84405,5,13.2,0.4,2.771,2.853,3.617,3.081,4.354,2265.607,2060.782,4.967,8,30,0,5.04,1.85,7.01,0,17
84992,5,13.2,0.4,2.768,2.852,3.607,3.074,4.362,2336.625,2663.484,5.593,-1,31,-2,5.04,1.85,7.01,0,18
83780,6,13.2,0,2.748,2.832,3.595,3.052,4.336,2293.584,2288.52,5.717,-3,31,-3,5.04,1.85,7.01,0,18
82262,5,13.4,0,2.691,2.725,3.516,2.991,4.26,2364.475,2450.051,4.662,-3,32,-3,5.04,1.85,7.01,0,14
84288,5,13.6,0,2.74,2.839,3.649,3.064,4.348,2296.495,2358.778,4.33,-3,31,-4,5.04,1.85,7.01,0,15
84118,4,13.8,0,2.758,2.831,3.568,3.056,4.337,2359.285,2125.217,3.44,-1,31,-5,5.04,1.85,7.01,0,12
